ID	x	y	Tribe	VID	Village	User_ID	Player	AID	Alliance	Pop
19418	-31	152	6	32884	02	10406	Dante	11	CZ ATD	171
19425	-24	152	6	29722	Kryptonians	34016	wikedkrypto	0		14
19429	-20	152	6	29449	consuelo	33366	consuelo	240	TİM -|-2	170
19439	-10	152	3	29212	Village de spartacus809	32744	spartacus809	0		10
19444	-5	152	2	29150	Деревня Sera	32534	Sera	0		14
19446	-3	152	2	29094	salamow`s village	32420	salamow	0		9
19449	0	152	6	29294	sasoki	32973	sasoki	0		153
19474	25	152	3	29805	vil-age	34246	vladkoff	0		24
19481	32	152	6	30007	Aldeia do Mambo	34784	mammbo96	714	HBreaker	275
19487	38	152	3	30476	Деревня bohemia	36033	bohemia	0		8
19503	54	152	3	31355	00	37779	Carlos270	0		22
19512	63	152	3	32240	00	40390	pulgarcin	0		119
19785	-65	151	3	32111	Sronc	40032	Csomolumma	0		30
19804	-46	151	6	30539	Vesnice: King_Ondy	36218	King_Ondy	0		8
19808	-42	151	3	30438	Cyrush`s village	35961	Cyrush	0		31
19811	-39	151	1	30190	Htoris404	35320	Htoris404	324	WORLD	224
19829	-21	151	6	29230	Teplice	32799	Nextep	582	El Mondo	259
19831	-19	151	3	29228	ЛОГОВО	32773	MRAK	0		62
19839	-11	151	6	28908	fyllets69 01	31932	fyllets69	0		110
19855	5	151	6	28991	Desa Ardy indonesia	32235	Ardy indonesia	0		9
19858	8	151	6	28980	Kliďasovo	32202	Kliďas	98	CZ-SK	295
19862	12	151	6	28976	大飛機的村莊	32184	大飛機	0		10
19865	15	151	3	29274	Aldea de Betico10	32914	Betico10	0		25
19872	22	151	3	29502	Деревня Plana	18189	Plana	0		8
19889	39	151	3	30213	قرية غامر	35385	غامر	0		8
19893	43	151	6	30452	Aldea de Nikito02	35988	Nikito02	0		8
19899	49	151	1	30742	Stary Tabor	36565	mixRemix	0		225
19901	51	151	6	30958	Osada: Andrzej	37181	Andrzej	0		11
19903	53	151	1	31156	crefdvdfvfc`s village	37755	crefdvdfvfc	0		10
19909	59	151	3	31664	Mil	39005	Milo	779	BEES	209
19911	61	151	6	31895	Light of Darkness	39502	Marlen00i	0		12
19914	64	151	6	32174	The Whale	39986	777Mike	0		47
20185	-66	150	3	32121	قرية gyguva	40054	gyguva	0		8
20189	-62	150	3	31588	Деревня badyos	38789	badyos	0		18
20196	-55	150	6	31068	Nova Osiris	37547	benetrio	0		152
20201	-50	150	1	30642	AmirFarrokh`s villag	36450	AmirFarrokh	0		13
20210	-41	150	6	30022	森上梅錢的村莊	34821	森上梅錢	0		10
20226	-25	150	2	29240	jimboy	32822	jimboy	0		10
20229	-22	150	2	29234	Jano I	32828	Jano	0		29
20234	-17	150	3	28918	Naselje - kkex16	31970	kkex16	0		15
20239	-12	150	3	28655	kingaditya mafi`s village	31347	kingaditya mafi	0		10
20249	-2	150	2	28633	قرية ahmd202	31271	ahmd202	0		13
20253	2	150	3	28713	Деревня Eluu	31543	Eluu	0		10
20262	11	150	7	28569	Kokosovka	31132	Kokos	0		106
20268	17	150	3	28838	Vesnice: Abell	31850	Abell	0		12
20277	26	150	6	29009	mitsos χωριό	32280	mitsos	0		8
20288	37	150	1	29820	01. Ares	34266	JohnKlaatu	714	HBreaker	253
20295	44	150	3	30228	Lærkereden	35428	Fuglen	0		61
20303	52	150	6	30932	Herby`s village	37111	Herby	0		15
20311	60	150	3	31635	Логово	38955	Inside Sky	0		23
20317	66	150	3	32163	Osada: xTaneli	40170	xTaneli	0		13
20321	70	150	3	33733	Loei	34127	Zeze	307	Ctrl+X	51
20582	-70	149	3	32322	morgana`s village	40586	morgana	0		9
20584	-68	149	2	32005	TriCoVsKi`s	39752	TriCoVsKi	0		49
20591	-61	149	6	31127	Galacja	37687	aVizo	0		169
20593	-59	149	2	33587	قرية جديدة	31567	ABOD.1	324	WORLD	44
20595	-57	149	2	31116	MC Weedhouse	37666	Emsi	0		11
20598	-54	149	6	30705	Brogen`s village	36564	Brogen	0		8
20609	-43	149	6	29971	Деревня Nice	34689	Nice	0		10
20613	-39	149	2	29742	ад	34064	axxxel	0		197
20615	-37	149	6	29735	Rocca degli Alberti	34053	Mazzo86	0		217
20617	-35	149	1	33435	2. Entertaineren	33419	tullemor	324	WORLD	114
20618	-34	149	1	29464	Costa Del Sol	33419	tullemor	324	WORLD	318
20631	-21	149	3	28637	Деревня Янино 1	31284	Статист	0		15
20652	0	149	7	28475	Anki 101`s village	30878	Anki 101	0		10
20660	8	149	3	28470	k	30874	kestas	0		28
20664	12	149	2	28467	Деревня Yahoo!G0	30872	Yahoo!G0	0		19
20667	15	149	6	28747	Vesnice: SemNyk	31614	SemNyk	0		8
20670	18	149	6	28190	Кримзонфиш	672	lidomir	28	DH	304
20674	22	149	3	28974	Dümpelbach	32171	Eisendieter3	0		45
