ID	x	y	Tribe	VID	Village	User_ID	Player	AID	Alliance	Pop
272731	-10	60	1	48278	1.MAT	913	boz	159	WHEV	372
272737	-4	60	3	19450	sauce	2064	sauce	0		61
272738	-3	60	1	70423	Agram	2062	fikus	12	Outlaws	485
272739	-2	60	1	17890	Andautonia	2062	fikus	12	Outlaws	418
272766	25	60	3	70417	Chunky Place	2519	Bistro	178	F&B	312
272774	33	60	2	70842	Mido0oo`s village	2863	Mido0oo	0		8
272778	37	60	3	71159	F8h`s village	3479	F8h	0		14
273382	-160	59	1	70262	11 STRONGHOLD	559	darky	12	Outlaws	246
273478	-64	59	3	70310	00 | Avaricum	1685	Dardail	12	Outlaws	315
273481	-61	59	3	71213	02 | Caturiges	1685	Dardail	12	Outlaws	128
273500	-42	59	3	71327	donald French`s village	3823	donald French	0		13
273503	-39	59	3	71221	llgray2942`s village	3612	llgray2942	0		8
273507	-35	59	3	70719	Lannychang-B2	2455	Lanny	159	WHEV	172
273545	3	59	3	4813	Nori	1971	Nori	67	RS	127
273547	5	59	1	70443	02	1733	cr4zypt	159	WHEV	180
273549	7	59	3	4810	1	1966	Jeremik	0		36
273552	10	59	1	19828	Persia_01	2065	Arash.G1	159	WHEV	375
273559	17	59	5	25150	Natars 17|59	1	Natars	0		108
273562	20	59	3	70000	FIM`s village	2274	FIM	0		13
273565	23	59	1	70065	Dragon Valley	2378	choang18	0		24
273570	28	59	3	70567	Aquitanien	2577	pals1000	0		119
273578	36	59	2	70933	mhaba`s village	3018	mhaba	0		25
273582	40	59	2	71235	Tanker9000`s village	3309	Tanker9000	0		11
273728	186	59	1	70597	A2 24 October 2020	1236	WOKA	24	•••	123
274183	-160	58	1	71069	12 OUTLAWS	559	darky	12	Outlaws	185
274305	-38	58	3	70969	98`s	3045	Chalo98	0		18
274307	-36	58	2	70861	furkanokur`s village	2899	furkanokur	0		8
274329	-14	58	2	9637	00 Midgaard	2042	mala	0		40
274353	10	58	1	70905	02_Georgia	2065	Arash.G1	159	WHEV	145
274354	11	58	1	4826	Pizza Pine Apple	1981	Pizza Storm	24	•••	402
274365	22	58	1	70011	Newlife`s village	2299	Newlife	0		16
274367	24	58	1	70078	BOSNAE	2389	mwaruwari	0		35
274370	27	58	3	70317	nic tu není`s villag	2484	nic tu není	0		10
274373	30	58	2	70606	Piss low	2591	Ratslaps	0		20
274380	37	58	1	70633	Pizza WeeD	1981	Pizza Storm	24	•••	238
274382	39	58	2	71138	John117`s village	3447	John117	0		18
274418	75	58	1	70140	01_Kralov	17	Koumak	5	#Friends	440
275059	-85	57	3	71319	Can Titola	598	mikebike	12	Outlaws	27
275102	-42	57	3	71205	Tauranga	3591	ArObran	0		35
275104	-40	57	3	71117	Nelson`s village	3415	Nelson	0		12
275112	-32	57	1	70484	V00	2544	Roman	161	Noobland	319
275114	-30	57	5	70157	Natars -30|57	1	Natars	0		55
275118	-26	57	3	70018	GOLGOTA I	2312	bediko	109	mirror	220
275121	-23	57	2	26905	HAMMER1`s village	2089	HAMMER1	0		12
275126	-18	57	2	18075	kondıkcı`s village	2063	kartal1722	0		14
275133	-11	57	2	4709	hoces burek	1843	hoces burek	0		59
275142	-2	57	1	4598	01	1733	cr4zypt	159	WHEV	429
275144	0	57	3	4626	Palthoria	1763	Enthrox	0		45
275153	9	57	1	4730	arabella`s village	1863	arabella	0		11
