ID	x	y	Tribe	VID	Village	User_ID	Player	AID	Alliance	Pop	Pop_d-1	difference1	distance	links
357616	-31	-46	1	2334	Sajadp48`s village	1727	Sajadp48	0		8	45	-37	138	https://latesummer1x.travian.com/karte.php?x=-31&y=-46
358416	-32	-47	3	2531	Graveyard	1908	Undead	0		47	78	-31	138	https://latesummer1x.travian.com/karte.php?x=-32&y=-47
302425	47	23	2	2020	001	1396	Darkice91	0		49	61	-12	139	https://latesummer1x.travian.com/karte.php?x=47&y=23
303223	44	22	3	1553	1.0	1079	disney	35	S&G	77	122	-45	139	https://latesummer1x.travian.com/karte.php?x=44&y=22
304819	38	20	2	926	Zz	632	Yoyo	0		44	50	-6	139	https://latesummer1x.travian.com/karte.php?x=38&y=20
306417	34	18	3	552	Asterix`s village	337	Asterix	0		12	12	0	139	https://latesummer1x.travian.com/karte.php?x=34&y=18
350411	-27	-37	2	1321	YYY`s village	895	YYY	0		27	27	0	139	https://latesummer1x.travian.com/karte.php?x=-27&y=-37
356814	-32	-45	1	2387	Ploop`s village	1807	Ploop	0		32	32	0	139	https://latesummer1x.travian.com/karte.php?x=-32&y=-45
357614	-33	-46	3	2534	Grand Valley	1918	Istorior	0		14	71	-57	139	https://latesummer1x.travian.com/karte.php?x=-33&y=-46
300826	50	25	3	2449	Tester`s village	361	Tester	0		19	35	-16	140	https://latesummer1x.travian.com/karte.php?x=50&y=25
303220	41	22	2	1306	Respect`s village	883	Respect	0		8	28	-20	140	https://latesummer1x.travian.com/karte.php?x=41&y=22
305615	33	19	1	665	Tschimiske`s village	398	Tschimiske	0		27	27	0	140	https://latesummer1x.travian.com/karte.php?x=33&y=19
346407	-26	-32	1	865	therealtester`s village	578	therealtester	0		8	8	0	140	https://latesummer1x.travian.com/karte.php?x=-26&y=-32
348808	-28	-35	2	1228	Atro100`s village	816	Atro100	0		22	22	0	140	https://latesummer1x.travian.com/karte.php?x=-28&y=-35
351210	-29	-38	2	1456	00	975	Witcher	0		65	83	-18	140	https://latesummer1x.travian.com/karte.php?x=-29&y=-38
354412	-31	-42	1	2109	1	1441	NIS81	0		16	16	0	140	https://latesummer1x.travian.com/karte.php?x=-31&y=-42
